fileNumber,activityNumber,startPoint,endPoint,fileName,ativityCategory
1,1,454,699,user4_iw_1,1
1,2,1084,1376,user4_iw_1,1
1,3,1784,2097,user4_iw_1,1
1,4,2483,2781,user4_iw_1,1
1,5,3170,3478,user4_iw_1,1
1,6,3921,4193,user4_iw_1,2
1,7,4574,4968,user4_iw_1,2
1,8,5422,5862,user4_iw_1,2
1,9,6267,6682,user4_iw_1,2
1,10,7092,7459,user4_iw_1,2
2,1,112,330,user4_iw_2,1
2,2,695,961,user4_iw_2,1
2,3,1365,1663,user4_iw_2,1
2,4,2055,2337,user4_iw_2,1
2,5,2743,3039,user4_iw_2,1
2,6,3434,3756,user4_iw_2,2
2,7,4146,4425,user4_iw_2,2
2,8,4882,5203,user4_iw_2,2
2,9,5582,5777,user4_iw_2,2
2,10,6146,6519,user4_iw_2,2
3,1,385,646,user4_iw_3,1
3,2,1036,1344,user4_iw_3,1
3,3,1719,2019,user4_iw_3,1
3,4,2439,2622,user4_iw_3,1
3,5,2990,3337,user4_iw_3,1
3,6,3690,4044,user4_iw_3,2
3,7,4455,4827,user4_iw_3,2
3,8,5203,5542,user4_iw_3,2
3,9,5954,6349,user4_iw_3,2
3,10,6761,7183,user4_iw_3,2
4,1,475,737,user4_iw_4,1
4,2,1190,1495,user4_iw_4,1
4,3,1875,2191,user4_iw_4,1
4,4,2667,3019,user4_iw_4,1
4,5,3404,3731,user4_iw_4,1
4,6,4257,4612,user4_iw_4,2
4,7,5061,5349,user4_iw_4,2
4,8,5616,5936,user4_iw_4,2
4,9,6329,6656,user4_iw_4,2
4,10,7098,7408,user4_iw_4,2
5,1,434,734,user4_iw_5,1
5,2,1133,1413,user4_iw_5,1
5,3,1856,2089,user4_iw_5,1
5,4,2391,2682,user4_iw_5,1
5,5,3127,3467,user4_iw_5,1
5,6,3920,4258,user4_iw_5,2
5,7,4674,4975,user4_iw_5,2
5,8,5340,5691,user4_iw_5,2
5,9,6132,6439,user4_iw_5,2
5,10,6847,7168,user4_iw_5,2
6,1,406,735,user4_iw_6,1
6,2,1127,1415,user4_iw_6,1
6,3,1812,2161,user4_iw_6,1
6,4,2522,2876,user4_iw_6,1
6,5,3255,3596,user4_iw_6,1
6,6,4060,4373,user4_iw_6,2
6,7,4847,5103,user4_iw_6,2
6,8,5528,5898,user4_iw_6,2
6,9,6335,6711,user4_iw_6,2
6,10,7148,7507,user4_iw_6,2
