fileNumber,activityNumber,startPoint,endPoint,fileName,ativityCategory
1,1,541,725,user3_iw_1,1
1,2,1063,1196,user3_iw_1,1
1,3,1547,1749,user3_iw_1,1
1,4,2112,2326,user3_iw_1,1
1,5,2845,3065,user3_iw_1,1
1,6,3752,4033,user3_iw_1,2
1,7,4518,4778,user3_iw_1,2
1,8,5100,5400,user3_iw_1,2
1,9,5862,6175,user3_iw_1,2
1,10,6662,6967,user3_iw_1,2
2,1,589,779,user3_iw_2,1
2,2,1244,1427,user3_iw_2,1
2,3,1844,2031,user3_iw_2,1
2,4,2452,2634,user3_iw_2,1
2,5,3075,3262,user3_iw_2,1
2,6,3740,3972,user3_iw_2,2
2,7,4417,4562,user3_iw_2,2
2,8,5005,5253,user3_iw_2,2
2,9,5716,5998,user3_iw_2,2
2,10,6494,6767,user3_iw_2,2
3,1,540,722,user3_iw_3,1
3,2,1468,1675,user3_iw_3,1
3,3,2261,2470,user3_iw_3,1
3,4,2963,3173,user3_iw_3,1
3,5,3680,3887,user3_iw_3,1
3,6,4361,4591,user3_iw_3,2
3,7,5065,5246,user3_iw_3,2
3,8,5645,5901,user3_iw_3,2
3,9,6386,6666,user3_iw_3,2
3,10,7280,7531,user3_iw_3,2
4,1,669,888,user3_iw_4,1
4,2,1361,1570,user3_iw_4,1
4,3,2083,2295,user3_iw_4,1
4,4,2787,2989,user3_iw_4,1
4,5,3466,3675,user3_iw_4,1
4,6,4063,4327,user3_iw_4,2
4,7,4771,5039,user3_iw_4,2
4,8,5488,5756,user3_iw_4,2
4,9,6301,6574,user3_iw_4,2
4,10,7036,7311,user3_iw_4,2
5,1,505,707,user3_iw_5,1
5,2,1223,1428,user3_iw_5,1
5,3,1935,2160,user3_iw_5,1
5,4,2644,2877,user3_iw_5,1
5,5,3455,3709,user3_iw_5,1
5,6,4306,4551,user3_iw_5,2
5,7,5022,5258,user3_iw_5,2
5,8,5796,6037,user3_iw_5,2
5,9,6681,6950,user3_iw_5,2
5,10,7608,7792,user3_iw_5,2
6,1,690,901,user3_iw_6,1
6,2,1428,1643,user3_iw_6,1
6,3,2274,2499,user3_iw_6,1
6,4,2954,3201,user3_iw_6,1
6,5,3764,3989,user3_iw_6,1
6,6,4381,4607,user3_iw_6,2
6,7,5135,5394,user3_iw_6,2
6,8,5979,6245,user3_iw_6,2
6,9,6819,7060,user3_iw_6,2
6,10,7598,7868,user3_iw_6,2
7,1,282,444,user3_ph_1,3
7,2,782,959,user3_ph_1,3
7,3,1302,1466,user3_ph_1,3
7,4,1800,2007,user3_ph_1,3
7,5,2309,2493,user3_ph_1,3
7,6,2749,2848,user3_ph_1,4
7,7,3318,3505,user3_ph_1,4
7,8,3850,4015,user3_ph_1,4
7,9,4320,4489,user3_ph_1,4
7,10,4815,5001,user3_ph_1,4
8,1,304,478,user3_ph_2,3
8,2,776,945,user3_ph_2,3
8,3,1277,1475,user3_ph_2,3
8,4,1780,1998,user3_ph_2,3
8,5,2300,2489,user3_ph_2,3
8,6,2861,3029,user3_ph_2,4
8,7,3339,3478,user3_ph_2,4
8,8,3794,3977,user3_ph_2,4
8,9,4302,4499,user3_ph_2,4
8,10,4845,5045,user3_ph_2,4
9,1,292,471,user3_ph_3,3
9,2,826,1046,user3_ph_3,3
9,3,1295,1466,user3_ph_3,3
9,4,1777,1953,user3_ph_3,3
9,5,2312,2495,user3_ph_3,3
9,6,2815,2938,user3_ph_3,4
9,7,3345,3483,user3_ph_3,4
9,8,3822,3982,user3_ph_3,4
9,9,4315,4474,user3_ph_3,4
9,10,4838,5002,user3_ph_3,4
10,1,289,434,user3_ph_4,3
10,2,832,983,user3_ph_4,3
10,3,1278,1447,user3_ph_4,3
10,4,1813,1983,user3_ph_4,3
10,5,2296,2445,user3_ph_4,3
10,6,2830,2982,user3_ph_4,4
10,7,3307,3460,user3_ph_4,4
10,8,3832,4000,user3_ph_4,4
10,9,4400,4568,user3_ph_4,4
10,10,4856,5022,user3_ph_4,4
11,1,363,517,user3_ph_5,3
11,2,857,1020,user3_ph_5,3
11,3,1346,1504,user3_ph_5,3
11,4,1861,2031,user3_ph_5,3
11,5,2363,2549,user3_ph_5,3
11,6,2831,2984,user3_ph_5,4
11,7,3351,3520,user3_ph_5,4
11,8,3908,4063,user3_ph_5,4
11,9,4378,4548,user3_ph_5,4
11,10,4846,5009,user3_ph_5,4
12,1,277,435,user3_ph_6,3
12,2,792,950,user3_ph_6,3
12,3,1274,1431,user3_ph_6,3
12,4,1798,1947,user3_ph_6,3
12,5,2313,2483,user3_ph_6,3
12,6,2835,2997,user3_ph_6,4
12,7,3335,3502,user3_ph_6,4
12,8,3813,3992,user3_ph_6,4
12,9,4320,4480,user3_ph_6,4
12,10,4835,4942,user3_ph_6,4
13,1,406,576,user3_rp_1,5
13,2,898,1069,user3_rp_1,5
13,3,1426,1606,user3_rp_1,5
13,4,1883,2044,user3_rp_1,5
13,5,2384,2537,user3_rp_1,5
13,6,2861,3061,user3_rp_1,6
13,7,3355,3593,user3_rp_1,6
