fileNumber,activityNumber,startPoint,endPoint,fileName,ativityCategory
1,1,355,507,user5_iw_1,1
1,2,913,1052,user5_iw_1,1
1,3,1431,1593,user5_iw_1,1
1,4,1970,2134,user5_iw_1,1
1,5,2517,2667,user5_iw_1,1
1,6,3043,3237,user5_iw_1,2
1,7,3634,3824,user5_iw_1,2
1,8,4234,4449,user5_iw_1,2
1,9,4832,5029,user5_iw_1,2
1,10,5443,5604,user5_iw_1,2
2,1,463,599,user5_iw_2,1
2,2,1002,1173,user5_iw_2,1
2,3,1556,1712,user5_iw_2,1
2,4,2042,2201,user5_iw_2,1
2,5,2642,2801,user5_iw_2,1
2,6,3187,3446,user5_iw_2,2
2,7,3862,4131,user5_iw_2,2
2,8,4400,4612,user5_iw_2,2
2,9,5060,5313,user5_iw_2,2
2,10,5679,5936,user5_iw_2,2
3,1,451,624,user5_iw_3,1
3,2,973,1149,user5_iw_3,1
3,3,1527,1695,user5_iw_3,1
3,4,2137,2327,user5_iw_3,1
3,5,2698,2839,user5_iw_3,1
3,6,3119,3397,user5_iw_3,2
3,7,3810,4124,user5_iw_3,2
3,8,4502,4790,user5_iw_3,2
3,9,5200,5485,user5_iw_3,2
3,10,5936,6241,user5_iw_3,2
4,1,464,653,user5_iw_4,1
4,2,1009,1182,user5_iw_4,1
4,3,1582,1766,user5_iw_4,1
4,4,2208,2381,user5_iw_4,1
4,5,2783,2971,user5_iw_4,1
4,6,3390,3676,user5_iw_4,2
4,7,4060,4333,user5_iw_4,2
4,8,4704,4968,user5_iw_4,2
4,9,5349,5493,user5_iw_4,2
4,10,5811,6093,user5_iw_4,2
5,1,451,662,user5_iw_5,1
5,2,1053,1242,user5_iw_5,1
5,3,1650,1831,user5_iw_5,1
5,4,2194,2357,user5_iw_5,1
5,5,2729,2915,user5_iw_5,1
5,6,3163,3454,user5_iw_5,2
5,7,3848,4175,user5_iw_5,2
5,8,4539,4855,user5_iw_5,2
5,9,5212,5513,user5_iw_5,2
5,10,5994,6294,user5_iw_5,2
6,1,418,578,user5_iw_6,1
6,2,963,1050,user5_iw_6,1
6,3,1369,1563,user5_iw_6,1
6,4,1996,2169,user5_iw_6,1
6,5,2559,2769,user5_iw_6,1
6,6,3183,3448,user5_iw_6,2
6,7,3809,4106,user5_iw_6,2
6,8,4497,4748,user5_iw_6,2
6,9,5151,5404,user5_iw_6,2
6,10,5805,6062,user5_iw_6,2
7,1,443,662,user5_ph_1,3
7,2,1041,1266,user5_ph_1,3
7,3,1631,1865,user5_ph_1,3
7,4,2219,2436,user5_ph_1,3
7,5,2884,3083,user5_ph_1,3
7,6,3338,3615,user5_ph_1,4
7,7,4001,4266,user5_ph_1,4
7,8,4659,4965,user5_ph_1,4
7,9,5350,5675,user5_ph_1,4
7,10,6062,6410,user5_ph_1,4
8,1,431,603,user5_ph_2,3
8,2,1062,1262,user5_ph_2,3
8,3,1674,1907,user5_ph_2,3
8,4,2300,2486,user5_ph_2,3
8,5,2888,3095,user5_ph_2,3
8,6,3516,3736,user5_ph_2,4
8,7,4104,4342,user5_ph_2,4
8,8,4686,4905,user5_ph_2,4
8,9,5277,5483,user5_ph_2,4
8,10,5707,5926,user5_ph_2,4
9,1,378,552,user5_ph_3,3
9,2,930,1180,user5_ph_3,3
9,3,1518,1704,user5_ph_3,3
9,4,2118,2325,user5_ph_3,3
9,5,2678,2883,user5_ph_3,3
9,6,3274,3507,user5_ph_3,4
9,7,3872,4103,user5_ph_3,4
9,8,4305,4487,user5_ph_3,4
9,9,4862,5106,user5_ph_3,4
9,10,5512,5725,user5_ph_3,4
10,1,505,674,user5_ph_4,3
10,2,1066,1257,user5_ph_4,3
10,3,1654,1850,user5_ph_4,3
10,4,2227,2431,user5_ph_4,3
10,5,2818,2934,user5_ph_4,3
10,6,3247,3465,user5_ph_4,4
10,7,3810,4056,user5_ph_4,4
10,8,4403,4671,user5_ph_4,4
10,9,5085,5328,user5_ph_4,4
10,10,5719,5959,user5_ph_4,4
11,1,476,646,user5_ph_5,3
11,2,1012,1205,user5_ph_5,3
11,3,1572,1761,user5_ph_5,3
11,4,2122,2285,user5_ph_5,3
11,5,2551,2643,user5_ph_5,3
11,6,3057,3296,user5_ph_5,4
11,7,3667,3919,user5_ph_5,4
11,8,4306,4548,user5_ph_5,4
11,9,4966,5176,user5_ph_5,4
11,10,5600,5823,user5_ph_5,4
12,1,405,589,user5_ph_6,3
12,2,1017,1165,user5_ph_6,3
12,3,1397,1549,user5_ph_6,3
12,4,1947,2090,user5_ph_6,3
12,5,2502,2669,user5_ph_6,3
12,6,3018,3250,user5_ph_6,4
12,7,3702,3918,user5_ph_6,4
12,8,4315,4544,user5_ph_6,4
12,9,4905,5111,user5_ph_6,4
12,10,5601,5808,user5_ph_6,4
13,1,430,629,user5_rp_1,5
13,2,1045,1207,user5_rp_1,5
13,3,1648,1827,user5_rp_1,5
13,4,2235,2414,user5_rp_1,5
13,5,2666,2870,user5_rp_1,5
13,6,3276,3555,user5_rp_1,6
13,7,3945,4207,user5_rp_1,6
13,8,4590,4841,user5_rp_1,6
13,9,5223,5437,user5_rp_1,6
13,10,5872,6126,user5_rp_1,6
14,1,441,605,user5_rp_2,5
14,2,865,1029,user5_rp_2,5
14,3,1512,1677,user5_rp_2,5
14,4,2103,2291,user5_rp_2,5
14,5,2705,2901,user5_rp_2,5
14,6,3343,3551,user5_rp_2,6
14,7,3989,4193,user5_rp_2,6
14,8,4601,4863,user5_rp_2,6
14,9,5303,5473,user5_rp_2,6
14,10,5945,6159,user5_rp_2,6
15,1,440,624,user5_rp_3,5
15,2,1039,1222,user5_rp_3,5
15,3,1619,1827,user5_rp_3,5
15,4,2212,2412,user5_rp_3,5
15,5,2797,3011,user5_rp_3,5
15,6,3369,3587,user5_rp_3,6
15,7,3931,4242,user5_rp_3,6
15,8,4656,4919,user5_rp_3,6
15,9,5272,5547,user5_rp_3,6
15,10,6040,6227,user5_rp_3,6
16,1,416,606,user5_rp_4,5
16,2,1029,1212,user5_rp_4,5
16,3,1616,1762,user5_rp_4,5
16,4,2027,2225,user5_rp_4,5
16,5,2623,2831,user5_rp_4,5
16,6,3204,3486,user5_rp_4,6
16,7,3865,4150,user5_rp_4,6
16,8,4553,4829,user5_rp_4,6
16,9,5244,5450,user5_rp_4,6
16,10,5850,6070,user5_rp_4,6
17,1,92,283,user5_rp_5,5
17,2,732,931,user5_rp_5,5
17,3,1343,1553,user5_rp_5,5
17,4,1937,2131,user5_rp_5,5
17,5,2584,2774,user5_rp_5,5
17,6,3136,3419,user5_rp_5,6
17,7,3773,4046,user5_rp_5,6
17,8,4449,4749,user5_rp_5,6
17,9,5099,5353,user5_rp_5,6
17,10,5684,6000,user5_rp_5,6
18,1,385,603,user5_rp_6,5
18,2,962,1171,user5_rp_6,5
18,3,1549,1763,user5_rp_6,5
18,4,2139,2345,user5_rp_6,5
18,5,2723,2932,user5_rp_6,5
18,6,3340,3594,user5_rp_6,6
18,7,4020,4283,user5_rp_6,6
18,8,4475,4710,user5_rp_6,6
18,9,5128,5374,user5_rp_6,6
18,10,5744,6034,user5_rp_6,6
19,1,494,647,user5_sd_1,7
19,2,1028,1216,user5_sd_1,7
19,3,1635,1798,user5_sd_1,7
19,4,2204,2358,user5_sd_1,7
19,5,2720,2884,user5_sd_1,7
19,6,3268,3453,user5_sd_1,8
19,7,3864,4109,user5_sd_1,8
19,8,4468,4588,user5_sd_1,8
19,9,4941,5137,user5_sd_1,8
19,10,5539,5730,user5_sd_1,8
20,1,459,608,user5_sd_2,7
20,2,1010,1152,user5_sd_2,7
20,3,1551,1684,user5_sd_2,7
20,4,2083,2252,user5_sd_2,7
20,5,2613,2783,user5_sd_2,7
20,6,3141,3343,user5_sd_2,8
20,7,3794,3990,user5_sd_2,8
20,8,4340,4449,user5_sd_2,8
20,9,4729,4913,user5_sd_2,8
20,10,5332,5521,user5_sd_2,8
21,1,418,579,user5_sd_3,7
21,2,1003,1153,user5_sd_3,7
21,3,1545,1710,user5_sd_3,7
21,4,2099,2249,user5_sd_3,7
21,5,2633,2792,user5_sd_3,7
21,6,3221,3406,user5_sd_3,8
21,7,3641,3790,user5_sd_3,8
21,8,4175,4358,user5_sd_3,8
21,9,4789,4981,user5_sd_3,8
21,10,5389,5570,user5_sd_3,8
22,1,397,551,user5_sd_4,7
22,2,977,1132,user5_sd_4,7
22,3,1527,1694,user5_sd_4,7
22,4,2077,2224,user5_sd_4,7
22,5,2565,2666,user5_sd_4,7
22,6,2982,3202,user5_sd_4,8
22,7,3592,3806,user5_sd_4,8
22,8,4231,4451,user5_sd_4,8
22,9,4819,5045,user5_sd_4,8
22,10,5533,5700,user5_sd_4,8
23,1,479,616,user5_sd_5,7
23,2,998,1142,user5_sd_5,7
23,3,1365,1519,user5_sd_5,7
23,4,1905,2060,user5_sd_5,7
23,5,2493,2647,user5_sd_5,7
23,6,3018,3241,user5_sd_5,8
23,7,3704,3896,user5_sd_5,8
23,8,4293,4495,user5_sd_5,8
23,9,4840,5064,user5_sd_5,8
23,10,5424,5645,user5_sd_5,8
24,1,245,372,user5_sd_6,7
24,2,787,928,user5_sd_6,7
24,3,1282,1438,user5_sd_6,7
24,4,1845,1989,user5_sd_6,7
24,5,2388,2542,user5_sd_6,7
24,6,2919,3098,user5_sd_6,8
24,7,3506,3719,user5_sd_6,8
24,8,4099,4332,user5_sd_6,8
24,9,4697,4927,user5_sd_6,8
24,10,5296,5505,user5_sd_6,8
25,1,510,683,user5_wd_1,9
25,2,1085,1246,user5_wd_1,9
25,3,1666,1838,user5_wd_1,9
25,4,2259,2425,user5_wd_1,9
25,5,2788,2991,user5_wd_1,9
25,6,3380,3540,user5_wd_1,10
25,7,3949,4066,user5_wd_1,10
25,8,4337,4480,user5_wd_1,10
25,9,4851,4977,user5_wd_1,10
25,10,5349,5486,user5_wd_1,10
26,1,549,742,user5_wd_2,9
26,2,1127,1307,user5_wd_2,9
26,3,1749,1949,user5_wd_2,9
26,4,2288,2457,user5_wd_2,9
26,5,2836,2971,user5_wd_2,9
26,6,3227,3405,user5_wd_2,10
26,7,3780,3960,user5_wd_2,10
26,8,4323,4502,user5_wd_2,10
26,9,4839,5029,user5_wd_2,10
26,10,5375,5551,user5_wd_2,10
27,1,413,600,user5_wd_3,9
27,2,994,1197,user5_wd_3,9
27,3,1591,1798,user5_wd_3,9
27,4,2182,2359,user5_wd_3,9
